"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-01","6.71","0.00","0.0","0.0","46","57","38","  220","  220","13.0","16.1",,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-02","2.68","0.00","0.0","0.0","47","50","40","   20","   30","10.1","12.1","    1",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-03","3.13","0.00","0.0","0.0","44","56","35","  270","  270","10.1","13.0",,,,,,,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-04","6.93","0.30","0.0","0.0","44","53","37","   70","  160","13.0","17.0","    1",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-05","9.84","0.04","0.0","0.0","49","53","44","  190","  170","29.1","38.0","    1",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-06","10.96","0.01","0.0","0.0","45","51","41","  190","  210","19.9","25.1",,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-07","12.75","0.14","0.0","0.0","44","49","38","  190","  190","25.9","35.1","    1",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-08","5.59","0.00","0.0","0.0","41","51","31","  170","  170","13.0","16.1","    1",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-09","4.47","0.00","0.0","0.0","45","55","36","  300","  330","14.1","18.1",,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-10","8.50","0.00","0.0","0.0","43","54","36","  340","  340","17.0","21.0",,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2021-03-11","4.92","0.00","0.0","0.0","44","55","36","   30","   20","13.0","14.1",,,,,,,
